first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-04-19,2020-04-25,20-24,לא ידוע,22,0.0,0.0
2020-04-19,2020-04-25,20-24,נקבה,3076,113.0,0.0
2020-04-19,2020-04-25,25-29,זכר,3611,78.0,0.0
2020-04-19,2020-04-25,25-29,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,25-29,נקבה,3167,76.0,0.0
2020-04-19,2020-04-25,30-34,זכר,3132,57.0,0.0
2020-04-19,2020-04-25,30-34,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,30-34,נקבה,2914,48.0,<15
2020-04-19,2020-04-25,35-39,זכר,2676,41.0,0.0
2020-04-19,2020-04-25,35-39,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,35-39,נקבה,2513,45.0,0.0
2020-04-19,2020-04-25,40-44,זכר,2332,36.0,0.0
2020-04-19,2020-04-25,40-44,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,40-44,נקבה,2392,48.0,0.0
2020-04-19,2020-04-25,45-49,זכר,2181,50.0,<15
2020-04-19,2020-04-25,45-49,לא ידוע,<15,<15,0.0
2020-04-19,2020-04-25,45-49,נקבה,2497,42.0,0.0
2020-04-19,2020-04-25,50-54,זכר,1816,43.0,0.0
2020-04-19,2020-04-25,50-54,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,50-54,נקבה,2429,32.0,<15
2020-04-19,2020-04-25,55-59,זכר,1675,23.0,<15
2020-04-19,2020-04-25,55-59,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,55-59,נקבה,2182,40.0,<15
2020-04-19,2020-04-25,60-64,זכר,1546,22.0,<15
2020-04-19,2020-04-25,60-64,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,60-64,נקבה,1978,26.0,0.0
2020-04-19,2020-04-25,65-69,זכר,1429,15.0,<15
2020-04-19,2020-04-25,65-69,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,65-69,נקבה,1515,<15,0.0
2020-04-19,2020-04-25,70-74,זכר,1370,16.0,<15
2020-04-19,2020-04-25,70-74,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,70-74,נקבה,1459,15.0,0.0
2020-04-19,2020-04-25,75-79,זכר,907,<15,<15
2020-04-19,2020-04-25,75-79,נקבה,1224,15.0,<15
2020-04-19,2020-04-25,80+,זכר,2764,25.0,<15
2020-04-19,2020-04-25,80+,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,80+,נקבה,6101,42.0,<15
2020-04-19,2020-04-25,NULL,זכר,1072,<15,0.0
2020-04-19,2020-04-25,NULL,לא ידוע,754,<15,0.0
2020-04-19,2020-04-25,NULL,נקבה,1224,18.0,0.0
2020-04-26,2020-05-02,0-19,זכר,3769,152.0,0.0
2020-04-26,2020-05-02,0-19,לא ידוע,127,<15,0.0
2020-04-26,2020-05-02,0-19,נקבה,2588,125.0,0.0
2020-04-26,2020-05-02,20-24,זכר,2832,64.0,0.0
2020-04-26,2020-05-02,20-24,לא ידוע,<15,<15,0.0
2020-04-26,2020-05-02,20-24,נקבה,2057,43.0,0.0
2020-04-26,2020-05-02,25-29,זכר,2152,40.0,0.0
2020-04-26,2020-05-02,25-29,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,25-29,נקבה,2182,30.0,0.0
2020-04-26,2020-05-02,30-34,זכר,2077,27.0,0.0
2020-04-26,2020-05-02,30-34,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,30-34,נקבה,2080,23.0,0.0
2020-04-26,2020-05-02,35-39,זכר,1811,15.0,0.0
2020-04-26,2020-05-02,35-39,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,35-39,נקבה,1881,23.0,0.0
2020-04-26,2020-05-02,40-44,זכר,1753,<15,0.0
2020-04-26,2020-05-02,40-44,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,40-44,נקבה,1736,17.0,0.0
2020-04-26,2020-05-02,45-49,זכר,1632,17.0,0.0
