VaccinationDate,age_group,first_dose,second_dose
2021-01-28,80-89,676,9135
2021-01-28,60-69,3085,27896
2021-01-28,30-39,19716,12697
2021-01-28,70-79,1571,18782
2021-01-28,40-49,17581,20588
2021-01-28,90+,181,2058
2021-01-29,20-29,5882,4794
2021-01-29,80-89,262,3247
2021-01-29,0-19,5401,1460
2021-01-29,50-59,3634,14333
2021-01-29,90+,44,662
2021-01-29,60-69,1303,11424
2021-01-29,30-39,10338,7579
2021-01-29,40-49,9105,13937
2021-01-29,70-79,541,7144
2021-01-30,20-29,5063,3031
2021-01-30,90+,33,425
2021-01-30,40-49,9115,10468
2021-01-30,70-79,466,3959
2021-01-30,30-39,10223,5629
2021-01-30,80-89,174,1846
2021-01-30,0-19,4794,826
2021-01-30,60-69,1038,6668
2021-01-30,50-59,3365,9796
2021-01-31,0-19,8640,911
2021-01-31,80-89,698,3619
2021-01-31,60-69,3076,10864
2021-01-31,90+,175,780
2021-01-31,30-39,20917,7308
2021-01-31,40-49,16860,12341
2021-01-31,70-79,1608,7209
2021-01-31,20-29,13651,4246
2021-01-31,50-59,7503,12026
2021-02-01,80-89,872,1715
2021-02-01,90+,239,397
2021-02-01,60-69,3164,5230
2021-02-01,20-29,20182,2975
2021-02-01,0-19,8945,459
2021-02-01,40-49,15617,8243
2021-02-01,70-79,1768,3476
2021-02-01,30-39,23492,4895
2021-02-01,50-59,7912,7808
2021-02-02,30-39,19580,3843
2021-02-02,70-79,1736,2740
2021-02-02,20-29,16139,2398
2021-02-02,90+,255,310
2021-02-02,50-59,6729,8688
2021-02-02,60-69,2987,4870
2021-02-02,40-49,13927,6251
2021-02-02,0-19,7542,361
2021-02-02,80-89,909,1438
2021-02-03,50-59,5869,21095
2021-02-03,40-49,11113,7940
2021-02-03,90+,248,322
2021-02-03,30-39,16863,5051
2021-02-03,70-79,1598,3586
2021-02-03,60-69,2702,7123
2021-02-03,80-89,896,1681
2021-02-03,20-29,15102,3945
2021-02-03,0-19,5643,475
2021-02-04,30-39,23499,7211
2021-02-04,50-59,5436,22623
2021-02-04,90+,155,256
2021-02-04,80-89,666,1310
2021-02-04,60-69,2369,6054
2021-02-04,40-49,10897,10156
2021-02-04,70-79,1204,2859
2021-02-04,20-29,22407,6350
2021-02-04,0-19,5720,1053
2021-02-05,60-69,1138,2809
2021-02-05,40-49,5416,5455
2021-02-05,50-59,2760,11386
2021-02-05,20-29,9657,2491
2021-02-05,0-19,2524,457
2021-02-05,80-89,249,586
2021-02-05,90+,79,120
2021-02-05,30-39,11382,4047
2021-02-05,70-79,551,1288
2021-02-06,0-19,1787,284
2021-02-06,50-59,1676,10171
2021-02-06,80-89,143,269
2021-02-06,40-49,3169,5279
2021-02-06,90+,35,58
2021-02-06,30-39,7069,2341
2021-02-06,70-79,265,653
2021-02-06,60-69,587,1574
2021-02-06,20-29,6785,1496
2021-02-07,20-29,16409,9634
2021-02-07,50-59,4465,23823
2021-02-07,80-89,581,1192
2021-02-07,90+,172,243
2021-02-07,0-19,4188,1149
2021-02-07,30-39,16780,7276
2021-02-07,70-79,1146,2540
2021-02-07,60-69,2157,5062
2021-02-07,40-49,8009,17572
2021-02-08,20-29,19514,13042
2021-02-08,0-19,3850,1432
2021-02-08,80-89,578,926
2021-02-08,50-59,4567,17375
2021-02-08,40-49,8010,18998
2021-02-08,60-69,2186,4256
2021-02-08,30-39,18440,6852
2021-02-08,70-79,1150,2105
2021-02-08,90+,139,177
2021-02-09,0-19,4429,1676
2021-02-09,80-89,637,866
2021-02-09,70-79,1286,2022
2021-02-09,30-39,19451,8154
2021-02-09,60-69,2637,3990
2021-02-09,20-29,22586,12762
2021-02-09,40-49,9319,22481
2021-02-09,90+,213,194
2021-02-09,50-59,5554,15029
2021-02-10,80-89,587,845
2021-02-10,90+,155,145
2021-02-10,20-29,23697,11199
2021-02-10,0-19,4782,1594
2021-02-10,50-59,5909,13959
2021-02-10,60-69,2773,3886
2021-02-10,30-39,21029,11143
2021-02-10,70-79,1345,1879
2021-02-10,40-49,10028,27195
2021-02-11,80-89,648,1019
2021-02-11,0-19,5681,1761
2021-02-11,20-29,27015,10477
2021-02-11,30-39,23600,13183
2021-02-11,90+,142,210
2021-02-11,60-69,3253,4070
2021-02-11,50-59,6955,12375
2021-02-11,40-49,12166,26118
2021-02-11,70-79,1451,2154
2021-02-12,70-79,623,965
2021-02-12,20-29,12705,3762
2021-02-12,90+,65,110
2021-02-12,30-39,11374,7573
2021-02-12,40-49,6020,15092
2021-02-12,80-89,285,484
2021-02-12,0-19,2780,1049
2021-02-12,60-69,1512,2193
2021-02-12,50-59,3550,6166
2021-02-13,80-89,170,286
2021-02-13,90+,28,73
2021-02-13,40-49,4346,11482
2021-02-13,30-39,7471,4494
2021-02-13,60-69,1052,1371
2021-02-13,70-79,396,640
2021-02-13,50-59,2696,5669
2021-02-13,0-19,2237,3958
2021-02-13,20-29,8970,2355
2021-02-14,90+,156,225
2021-02-14,60-69,3650,3790
2021-02-14,40-49,11871,21755
2021-02-14,70-79,1707,2079
2021-02-14,30-39,20221,11043
2021-02-14,20-29,23058,10522
2021-02-14,80-89,728,962
2021-02-14,0-19,6153,9018
2021-02-14,50-59,7092,9422
2021-02-15,40-49,13038,20451
2021-02-15,50-59,8018,9819
2021-02-15,70-79,1802,2195
2021-02-15,30-39,21803,12313
2021-02-15,90+,211,294
2021-02-15,20-29,24894,13916
2021-02-15,0-19,6728,11196
2021-02-15,80-89,836,1050
2021-02-15,60-69,3972,4148
2021-02-16,80-89,782,983
2021-02-16,60-69,3940,3637
2021-02-16,70-79,1875,1993
2021-02-16,90+,177,245
2021-02-16,40-49,12930,19074
2021-02-16,30-39,21733,13519
2021-02-16,50-59,7775,8778
2021-02-16,0-19,7604,12969
2021-02-16,20-29,26462,16782
2021-02-17,40-49,9960,18399
2021-02-17,60-69,2455,3129
2021-02-17,30-39,16105,12654
2021-02-17,70-79,1008,1646
2021-02-17,80-89,376,725
2021-02-17,90+,90,166
2021-02-17,0-19,5629,13571
2021-02-17,50-59,5531,8164
2021-02-17,20-29,20606,16813
2021-02-18,50-59,6495,8230
2021-02-18,60-69,2976,3155
2021-02-18,20-29,21797,15989
2021-02-18,70-79,1073,1552
2021-02-18,30-39,18150,18370
2021-02-18,40-49,11390,18151
2021-02-18,90+,70,149
2021-02-18,80-89,404,652
2021-02-18,0-19,6593,13169
2021-02-19,20-29,12574,6144
2021-02-19,50-59,3641,3856
2021-02-19,80-89,186,268
2021-02-19,0-19,3817,5971
2021-02-19,30-39,10766,10092
2021-02-19,70-79,497,600
2021-02-19,60-69,1544,1392
