,date,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,day,num_tot,per_10-19,per_20-29,per_30-39,per_40-49,per_50-59,per_60-69,per_70-79,per_80+
76,2021-03-06,3163,10498,8856,5030,2963,1306,589,329,278,32734,0.09662735990205067,0.3207062991627341,0.27054438801535274,0.153662858143318,0.09051750470748533,0.039897354420511594,0.01799352354799489,0.010050711795059964
77,2021-03-07,5500,19247,16845,9280,5595,2978,1497,798,279,61740,0.0890832523341297,0.3117427923045444,0.27283770646698446,0.15030774212013157,0.09062196305626466,0.04823453190018877,0.02424684158985312,0.012925170065933727
78,2021-03-08,5819,21030,18362,9945,6119,3322,1693,940,280,67230,0.0865536218821131,0.3128067826397729,0.27312211806141273,0.1479250334451993,0.09101591550036948,0.04941246466615908,0.025182210319026888,0.013981853337203353
79,2021-03-09,5818,20906,17129,9378,5752,3078,1554,836,281,64451,0.09027012767990099,0.3243704519209368,0.2657677925453805,0.14550588817155577,0.08924609391797705,0.04775721089699815,0.02411134039439088,0.012971094317703201
80,2021-03-10,5168,18391,14880,8437,5105,2661,1369,740,282,56751,0.09106447461876187,0.32406477413189816,0.26219802289612554,0.14866698381549806,0.08995436202182262,0.0468890415945289,0.02412292293983843,0.01303941780531807
81,2021-03-11,3876,13078,10814,6595,4082,2116,936,565,283,42062,0.09214968377819654,0.3109219722526456,0.2570966667640396,0.15679235410660633,0.09704721599138243,0.05030669011214239,0.02225286481331062,0.013432551943932157
82,2021-03-12,2192,7443,6249,3833,2379,1048,449,264,284,23857,0.09188078966681444,0.31198390396446163,0.26193570010397965,0.1606656326609944,0.09971915995317134,0.043928406738513476,0.018820471970985256,0.011065934521915607
83,2021-03-13,3085,9955,7996,4952,3011,1478,689,345,285,31511,0.09790231979375383,0.31592142416428504,0.2537526577215091,0.15715147086504666,0.09555393351669134,0.046904255641869744,0.021865380336433187,0.01094855764306161
84,2021-03-14,4691,14343,12058,7383,4625,2540,1272,722,286,47634,0.09848007723506737,0.301108451882876,0.25313851445330254,0.15499433174728253,0.09709451230274709,0.05332325648626542,0.02670361505926363,0.015157240623261275
85,2021-03-15,5057,15724,12877,7827,4964,2806,1423,774,287,51452,0.09828578090292198,0.3056052242273176,0.25027209821770346,0.1521223664479277,0.09647827099112215,0.05453626680118629,0.027656845209582358,0.015043147007882464
86,2021-03-16,4124,13266,10339,6629,4247,2476,1218,597,288,42896,0.09613950016408533,0.30925960455304463,0.2410248041213575,0.1545365534887783,0.09900690038721398,0.05772099961354881,0.028394255868054302,0.01391738157079509
87,2021-03-17,4525,13266,10363,6759,4397,2573,1288,634,289,43805,0.10329871016931885,0.30284214123893566,0.23657116762091743,0.15429745459324334,0.10037666930707072,0.05873758702003479,0.029403036176371865,0.014473233645822797
88,2021-03-18,3577,10276,8270,5476,3604,2019,918,464,290,34604,0.10336955262300035,0.29695988894435327,0.23898971210293904,0.15824760138762928,0.10414980924050692,0.05834585595354703,0.026528724995223463,0.013408854463816651
89,2021-03-19,2028,5908,4535,3188,2031,985,441,215,291,19331,0.1049092131266312,0.3056230922840913,0.23459727886058804,0.16491645534896465,0.10506440427030966,0.05095442550775727,0.022813098120731935,0.011122031963622145
90,2021-03-20,2933,8369,6741,4298,2697,1421,675,320,292,27454,0.10683324830376877,0.30483718208463717,0.24553799073157354,0.15655277913726495,0.09823705103145733,0.051759306457434505,0.024586581181399222,0.01165586070821889
91,2021-03-21,4276,12214,10007,6186,3998,2415,1284,733,293,41113,0.10400603212998175,0.29708364743582716,0.24340233010400544,0.15046335705240108,0.09724418064912699,0.05874054433907996,0.03123099748711332,0.017828910559232136
